trial,task,variant,suspended,t_run_s,wall,type,kind,step,n_messages,request_chars,n_tool_calls,tool_names,output_chars,started_at,ttft_ms,e2e_ms,decode_ms,itl_ms_mean,itl_ms_p50,itl_ms_p95,n_output_chunks,prompt_tokens,cached_tokens,completion_tokens,server_prompt_ms,server_prompt_tokens_computed,server_decode_ms_per_token,finish_reason,retries,prefill_tokens_computed
billing-decimal__9BUpQ5q,billing-decimal,full,False,5.546,1789617351.958584,llm_call,agent,1,2,2789,1,['view_file'],0,1789617346.5389462,3470.1750410022214,5419.122791005066,1699.435624992475,188.82618055471943,130.02008298644796,634.9900419882033,10,795,578,23,2513.73,217,128.20036363636362,tool_calls,0,217
billing-decimal__9BUpQ5q,billing-decimal,full,False,30.106,1789617376.519246,llm_call,agent,2,4,3603,1,['edit_file'],0,1789617352.197495,4986.543042003177,24319.004042015877,19067.775667004753,147.81221447290505,132.31133299996145,253.56474998989142,130,989,791,153,3479.1,198,136.75265789473684,tool_calls,0,198
billing-decimal__9BUpQ5q,billing-decimal,full,False,35.678,1789617382.0911958,llm_call,agent,3,6,4376,1,['view_file'],0,1789617376.8962939,3135.5644159775693,5190.461749996757,1784.730125014903,198.30334722387812,147.37245900323614,473.66091702133417,10,1165,985,23,2243.699,180,129.76068181818184,tool_calls,0,180
billing-decimal__9BUpQ5q,billing-decimal,full,False,51.511,1789617397.923567,llm_call,agent,4,8,5777,1,['edit_file'],0,1789617382.508877,8064.574208023259,15408.431917021517,7068.453208979918,144.25414712203914,130.3921249927953,223.54379200260155,50,1524,1161,63,6654.315,363,138.23587096774193,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,58.154,1789617404.566587,llm_call,agent,5,10,6274,1,['view_file'],0,1789617398.3842509,3897.197292011697,6158.213125017937,1899.4484579889104,211.0498286654345,154.4674169854261,534.2699580069166,10,1621,1520,23,2455.382,101,162.39786363636364,tool_calls,0,101
billing-decimal__9BUpQ5q,billing-decimal,full,False,76.162,1789617422.575304,llm_call,agent,6,12,7675,1,['edit_file'],0,1789617406.6077561,8902.435791009339,15961.78849998978,6811.27370899776,141.90153560412,130.4203750041779,180.52049999823794,49,1980,1617,62,7553.379,363,133.48539344262295,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,82.422,1789617428.834921,llm_call,agent,7,14,8369,1,['view_file'],0,1789617423.743695,3316.709875012748,5090.194000018528,1522.6125420012977,169.1791713334775,126.22937498963438,510.7029170030728,10,2123,1976,23,2138.481,147,126.37213636363636,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,98.615,1789617445.027955,llm_call,agent,8,16,9770,1,['edit_file'],0,1789617429.394648,7407.604999985779,15631.803833995946,7813.145749998512,162.77386979163566,157.44104201439768,185.87349998415448,49,2482,2119,62,5954.634,363,155.98936065573773,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,105.121,1789617451.533718,llm_call,agent,9,18,10464,1,['view_file'],0,1789617445.676126,3818.620292004198,5791.671334009152,1677.7805000019725,186.42005555577472,140.72575001046062,562.5224579998758,10,2625,2478,23,2665.867,147,139.50695454545453,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,127.89,1789617474.302647,llm_call,agent,10,20,11865,1,['edit_file'],0,1789617452.747157,11919.479917007266,21522.254875017097,9199.863167013973,191.66381597945778,185.31875000917353,208.85445797466673,49,2984,2621,62,9847.237,363,188.9644918032787,tool_calls,0,363
billing-decimal__9BUpQ5q,billing-decimal,full,False,136.574,1789617482.987417,llm_call,agent,11,22,12559,1,['view_file'],0,1789617475.9972742,4961.1714169732295,6985.875749989646,1755.8856250252575,195.09840278058417,129.93329198798165,745.3541250142734,10,3127,2980,23,3357.361,147,152.98763636363637,tool_calls,0,147
billing-decimal__9BUpQ5q,billing-decimal,full,False,155.324,1789617501.736734,llm_call,agent,12,24,13960,1,['edit_file'],0,1789617485.07846,8935.43129201862,16655.33387500909,7444.49049999821,155.09355208329603,131.56054200953804,295.1797080168035,49,3486,3123,62,7285.946,363,148.39024590163936,tool_calls,0,363
