job,trial,task,variant,model,reward,exception,stop_reason,steps,llm_calls,prompt_tokens,cached_tokens,prefill_computed,completion_tokens,prefill_s,decode_s,tool_s,compactions,repeat_warnings,format_errors,tool_errors,agent_wall_s,suspended
exp-full-t1,billing-decimal__9BUpQ5q,billing-decimal,full,local/qwen3-8b,0.0,False,max_steps,30,30,129654,122102,7552,1367,129.286232,189.23012037605662,18.43146028908086,0,27,0,14,337.43157,False
exp-full-t1,config-deep-merge__YE5k6Xo,config-deep-merge,full,local/qwen3-8b,0.0,False,submitted,18,18,37580,34802,2778,537,35.829257,59.163511875963515,4.214827665942721,0,4,0,7,99.373343,False
exp-full-t1,csv-report-totals__TPBnSPN,csv-report-totals,full,local/qwen3-8b,0.0,False,submitted,7,7,8982,7871,1111,184,14.493501,20.64121583298121,2.524805000924971,0,1,0,1,37.841913,False
exp-full-t1,daterange-inclusive__cWK6zQt,daterange-inclusive,full,local/qwen3-8b,0.0,False,submitted,13,13,26617,23942,2675,483,42.978946,67.34154362605769,6.975018083059695,0,3,0,3,117.50704,False
exp-full-t1,inventory-oversell__3B3ysNf,inventory-oversell,full,local/qwen3-8b,1.0,False,submitted,11,11,20311,18015,2296,453,269.317842,63.23490645697957,5.209618500957731,0,4,0,2,416.530771,False
exp-full-t1,log-error-summary__mFHgv9a,log-error-summary,full,local/qwen3-8b,0.0,False,max_steps,30,30,351133,335349,15784,1117,286.717838,165.49904287211805,10.533227668056497,0,15,0,3,462.987836,False
exp-full-t1,lru-cache-recency__y5aXLCY,lru-cache-recency,full,local/qwen3-8b,0.0,False,max_steps,30,30,122861,115105,7756,1076,136.645117,152.61345233108298,16.64515479290276,0,21,0,10,306.241779,False
exp-full-t1,pagination-pages__bAiZ2AS,pagination-pages,full,local/qwen3-8b,0.0,False,context_limit,10,10,126427,102393,24034,315,554.2735180000001,51.95693524796112,11.994471250975039,0,6,0,6,618.471931,False
exp-full-t1,retry-decorator__ZYYFnVw,retry-decorator,full,local/qwen3-8b,0.0,False,max_steps,30,30,116925,109717,7208,1176,5532.542277,141.30038254303562,14.925924916111398,0,21,0,10,10722.100875,True
exp-full-t1,schema-validator-paths__dP8wMVo,schema-validator-paths,full,local/qwen3-8b,0.0,False,max_steps,30,30,102797,97329,5468,1275,75.807402,147.5735540830414,7.7565010790131055,0,19,0,15,231.359125,False
exp-full-t1,slugify-rules__VNYj8nj,slugify-rules,full,local/qwen3-8b,0.0,False,max_steps,30,30,95759,90520,5239,1407,71.403772,161.75279954197106,8.827558456890984,0,24,0,14,242.186877,False
exp-full-t1,wordfreq-cli-options__uKzK2sC,wordfreq-cli-options,full,local/qwen3-8b,0.0,False,submitted,30,30,105413,98663,6750,1667,5099.412564,238.04410174798787,13.659616583929164,0,17,0,8,19348.372942,True
exp-full-t2,billing-decimal__CxJLLFt,billing-decimal,full,local/qwen3-8b,0.0,False,max_steps,30,30,120456,113485,6971,1164,102.59325199999999,145.91056758705838,9.105250290012918,0,24,0,13,257.853781,False
exp-full-t2,config-deep-merge__sW4tkW3,config-deep-merge,full,local/qwen3-8b,0.0,False,submitted,14,14,26460,24048,2412,437,30.360872,34.55042366807649,4.9177548340230715,0,5,0,4,69.975307,False
exp-full-t2,csv-report-totals__qqfuJrG,csv-report-totals,full,local/qwen3-8b,0.0,False,submitted,7,7,8982,7871,1111,184,11.515592,12.514842375017649,1.6449130830005743,0,1,0,1,25.785348,False
exp-full-t2,daterange-inclusive__9B7z6VD,daterange-inclusive,full,local/qwen3-8b,0.0,False,max_steps,30,30,114855,108881,5974,1344,86.49704,152.71222866697846,10.42489687394118,0,17,0,11,249.804289,False
exp-full-t2,inventory-oversell__Cp25Xv6,inventory-oversell,full,local/qwen3-8b,0.0,False,max_steps,30,30,125471,117268,8203,1526,114.491952,130.28482495601597,10.574017546052346,0,22,0,12,255.538617,False
exp-full-t2,log-error-summary__yoWNNT7,log-error-summary,full,local/qwen3-8b,0.0,False,max_steps,30,30,141300,132845,8455,1194,106.083538,93.44216595910879,11.374344541982282,0,22,0,11,211.083446,False
exp-full-t2,lru-cache-recency__oBktsGZ,lru-cache-recency,full,local/qwen3-8b,0.0,False,max_steps,30,30,122802,115624,7178,1043,89.904089,76.14024916598612,6.720632546028355,0,21,0,10,172.91352,False
exp-full-t2,pagination-pages__Epr8y2k,pagination-pages,full,local/qwen3-8b,0.0,False,max_steps,30,30,340107,325344,14763,736,186.341045,55.768999667002504,8.448257413925603,0,23,0,2,250.782561,False
exp-full-t2,retry-decorator__aLkf2vA,retry-decorator,full,local/qwen3-8b,0.0,False,max_steps,30,30,98817,92673,6144,1599,75.530815,128.0239049100547,12.519871128082741,0,16,0,6,216.279245,False
exp-full-t2,schema-validator-paths__DrtUY6y,schema-validator-paths,full,local/qwen3-8b,0.0,False,max_steps,30,30,134454,127232,7222,1303,105.56757,160.2675699998355,8.955447459127754,0,14,0,9,275.001069,False
exp-full-t2,slugify-rules__MEBscx8,slugify-rules,full,local/qwen3-8b,0.0,False,max_steps,30,30,93960,88831,5129,1551,53.083859,101.39398920597736,9.468738043011399,0,17,0,10,164.138178,False
